Year,Rk,Player,Team,GP,W,L,Min,Dist_FT,Dist_Miles,Dist_Miles_off,Dist_Miles_def,avg_speed,avg_speed_off,avg_speed_def
2018,,Patty Mills,SAS,82,47,35,25.7,10213.8,1.93,1.09,0.85,4.53,4.93,4.1
2018,,Patrick Patterson,OKC,80,48,32,15.3,5468.7,1.04,0.54,0.5,4.07,4.34,3.82
2018,,Patrick McCaw,GSW,57,41,16,16.9,6541.3,1.24,0.65,0.59,4.42,4.7,4.15
2018,,Patrick Beverley,LAC,11,5,6,30.3,12091.9,2.29,1.22,1.07,4.53,4.85,4.21
2018,,Pat Connaughton,POR,82,49,33,18.1,7008.4,1.33,0.73,0.59,4.42,4.69,4.12
2018,,Pascal Siakam,TOR,81,59,22,20.7,8318.8,1.58,0.85,0.73,4.6,5.03,4.18
2018,,PJ Tucker,HOU,82,65,17,27.8,9928.2,1.88,0.97,0.91,4.07,4.2,3.94
2018,,PJ Dozier,OKC,2,1,1,1.6,593.5,0.11,0.06,0.05,3.76,3.87,3.66
2018,,Otto Porter Jr.,WAS,77,42,35,31.6,12400.1,2.35,1.25,1.09,4.48,4.78,4.18
2018,,Omri Casspi,GSW,53,40,13,14,5551.9,1.05,0.56,0.49,4.54,5,4.13
2018,,Omer Asik,CHI,18,7,11,10.1,3577.6,0.68,0.35,0.33,4.03,4.32,3.76
2018,,Omari Johnson,MEM,4,1,3,18.8,7021.8,1.33,0.71,0.61,4.24,4.62,4.02
2018,,Okaro White,CLE,6,2,4,13.3,5287,1,0.52,0.48,4.55,4.75,4.35
2018,,OG Anunoby,TOR,74,51,23,20,7912.9,1.5,0.78,0.72,4.54,4.71,4.36
2018,,Norman Powell,TOR,70,51,19,15.2,6035.8,1.14,0.61,0.54,4.56,4.91,4.22
2018,,Noah Vonleh,CHI,54,24,30,16.2,6233.1,1.18,0.64,0.54,4.39,4.78,4.01
2018,,Nikola Vucevic,ORL,57,17,40,29.5,10362.4,1.96,1.02,0.94,4.05,4.26,3.84
2018,,Nikola Mirotic,NOP,55,34,21,27.2,10473.6,1.98,1.05,0.93,4.4,4.91,3.94
2018,,Nikola Jokic,DEN,75,43,32,32.6,11440.4,2.17,1.19,0.98,4.06,4.46,3.66
2018,,Nik Stauskas,BKN,41,14,27,12.8,4905.9,0.93,0.51,0.42,4.37,4.78,3.95
2018,,Nigel Hayes,SAC,9,6,3,13.6,5067.2,0.96,0.53,0.43,4.24,4.66,3.81
2018,,Nicolas Brussino,ATL,4,0,4,2.5,936.3,0.18,0.09,0.08,4.25,5.31,3.36
2018,,Nicolas Batum,CHA,64,27,37,30.9,11934.3,2.26,1.2,1.06,4.4,4.66,4.14
2018,,Nick Young,GSW,80,56,24,17.4,6275.9,1.19,0.63,0.56,4.13,4.42,3.85
2018,,Nick Collison,OKC,13,9,4,4.5,1729.5,0.33,0.18,0.15,4.47,4.71,4.02
2018,,Nerlens Noel,DAL,30,6,24,15.7,5897.4,1.12,0.6,0.52,4.28,4.41,4.14
2018,,Nene,HOU,52,42,10,14.6,5432.4,1.03,0.53,0.5,4.24,4.51,3.99
2018,,Nemanja Bjelica,MIN,67,38,29,20.5,7817,1.48,0.79,0.69,4.36,4.54,4.17
2018,,Naz Mitrou-Long,UTA,1,0,1,0.5,231,0.04,0.02,0.02,0,0,0
2018,,Nate Wolters,UTA,5,3,2,3.8,1316,0.25,0.14,0.11,3.87,4.25,3.43
2018,,Myles Turner,IND,65,39,26,28.3,10632,2.01,1.08,0.94,4.29,4.62,3.97
2018,,Myke Henry,MEM,20,3,17,18.9,7679.6,1.45,0.81,0.65,4.64,4.99,4.26
2018,,Montrezl Harrell,LAC,76,39,37,17,6214.9,1.18,0.6,0.57,4.17,4.49,3.87
2018,,Monte Morris,DEN,3,2,1,8.4,3257.3,0.62,0.34,0.27,4.52,4.79,3.79
2018,,Mirza Teletovic,MIL,9,4,5,15.8,5835.7,1.11,0.59,0.52,4.19,4.57,3.92
2018,,Mindaugas Kuzminskas,NYK,1,0,1,1.9,683,0.13,0.05,0.07,3.23,11.78,4.46
